Team,Spread,Total,Moneyline,Event ID
White Sox, +2.5 -110, O 8.5 -105,+300,dff8f4c4-a089-4454-bea6-adf25e2d84be
Orioles, -2.5 -110, U 8.5 -115,-375,dff8f4c4-a089-4454-bea6-adf25e2d84be
Phillies, -1.5 +130, O 7.5 -120,-135,fc414bfc-33b5-400d-9d43-111ac9496731
Blue Jays, +1.5 -155, U 7.5 +100,+115,fc414bfc-33b5-400d-9d43-111ac9496731
Astros, -1.5 +110, O 9 -110,-145,7dd518df-3071-4dcc-a058-adfc134ee3a5
Reds, +1.5 -130, U 9 -110,+120,7dd518df-3071-4dcc-a058-adfc134ee3a5
Nationals, -1.5 +115, O 8.5 -110,-145,a99ecf5b-8477-4330-846a-ed1aa55d260d
Marlins, +1.5 -135, U 8.5 -110,+120,a99ecf5b-8477-4330-846a-ed1aa55d260d
Twins, -1.5 +150, O 7.5 -120,-115,c478c59e-74c4-499a-bc09-18addac14f98
Rays, +1.5 -185, U 7.5 +100,-105,c478c59e-74c4-499a-bc09-18addac14f98
Red Sox, -1.5 +155, O 8 +100,-110,d5547cbe-82a3-428b-999c-a115042c062d
Mets, +1.5 -190, U 8 -120,-110,d5547cbe-82a3-428b-999c-a115042c062d
Rockies, +1.5 +115, O 8.5 -120,+240,5169c2fb-a07c-48d3-bfab-296f2af5b408
Braves, -1.5 -135, U 8.5 +100,-300,5169c2fb-a07c-48d3-bfab-296f2af5b408
Pirates, +1.5 -115, O 8.5 +100,+180,c4681ea5-54f8-4ac5-be99-5993de212e1b
Cubs, -1.5 -105, U 8.5 -120,-225,c4681ea5-54f8-4ac5-be99-5993de212e1b
Guardians, +1.5 -190, O 8.5 -115,+115,ddf11dd1-f455-4f57-ad86-1c04a4b32bb4
Royals, -1.5 +155, U 8.5 -105,-135,ddf11dd1-f455-4f57-ad86-1c04a4b32bb4
Cardinals, -1.5 +165, O 8 -105,-105,156c1c5c-0f97-46c6-8922-c2659dd75087
Brewers, +1.5 -200, U 8 -115,-115,156c1c5c-0f97-46c6-8922-c2659dd75087
Yankees, -1.5 +155, O 9 +100,-105,8e27822c-c2b4-405a-86ab-07fe9badddae
Rangers, +1.5 -190, U 9 -120,-115,8e27822c-c2b4-405a-86ab-07fe9badddae
Dodgers, -2.5 +105, O 10 -115,-210,796901a3-5ad7-49da-9c80-dc8bc29704d2
Angels, +2.5 -125, U 10 -105,+170,796901a3-5ad7-49da-9c80-dc8bc29704d2
Tigers, +1.5 -120, O 8 -105,+170,3379ae49-3448-4b7e-bf47-9318476ef462
Padres, -1.5 +100, U 8 -115,-210,3379ae49-3448-4b7e-bf47-9318476ef462
Mariners, -1.5 +120, O 7.5 +100,-145,6f5de5c6-04b0-4ba8-93e5-f44b89d973e3
Athletics, +1.5 -145, U 7.5 -120,+120,6f5de5c6-04b0-4ba8-93e5-f44b89d973e3
Diamondbacks, -1.5 +120, O 8 +100,-145,d6dde295-50a2-413a-a27b-c6e3cc0452e4
Giants, +1.5 -145, U 8 -120,+120,d6dde295-50a2-413a-a27b-c6e3cc0452e4
