,Team,Spread,Total,Moneyline
0,White Sox,,,
1,Orioles,,,
2,White Sox, +2.5 -140, O 8.5 -105,+260
3,Orioles, -2.5 +115, U 8.5 -115,-350
4,Nationals, -2.5 -175, O 8.5 -135,-1600
5,Marlins, +2.5 +135, U 8.5 +105,+775
6,Twins, +1.5 -190, O 5.5 +120,+290
7,Rays, -1.5 +145, U 5.5 -155,-400
8,Phillies, +1.5 +100, O 14.5 +105,+290
9,Blue Jays, -1.5 -130, U 14.5 -135,-400
10,Red Sox, +1.5 -190, O 6.5 -115,+180
11,Mets, -1.5 +145, U 6.5 -110,-225
12,Rockies, +3.5 -155, O 5.5 +120,+1000
13,Braves, -3.5 +120, U 5.5 -155,-2500
14,Pirates,,,
15,Cubs,,,
16,Guardians, -1.5 -120, O 6.5 -110,-250
17,Royals, +1.5 -105, U 6.5 -115,+195
18,Cardinals, -1.5 +140, O 10.5 +110,-140
19,Brewers, +1.5 -185, U 10.5 -140,+110
20,Yankees, -1.5 +110, O 6.5 -145,-155
21,Rangers, +1.5 -140, U 6.5 +110,+125
22,Dodgers, -1.5 -120, O 9.5 +100,-185
23,Angels, +1.5 +100, U 9.5 -120,+150
24,Mariners, -1.5 +105, O 8 -115,-155
25,Athletics, +1.5 -125, U 8 -105,+130
26,Diamondbacks, -1.5 +150, O 7.5 -115,-115
27,Giants, +1.5 -185, U 7.5 -105,-105
28,Phillies, -1.5 +135, O 8 -115,-125
29,Blue Jays, +1.5 -165, U 8 -105,+105
30,Astros, -1.5 +115, O 9.5 +100,-140
31,Reds, +1.5 -140, U 9.5 -120,+115
32,Nationals, -1.5 +125, O 8.5 +100,-140
33,Marlins, +1.5 -150, U 8.5 -120,+115
34,Red Sox, -1.5 +150, O 8 -115,-115
35,Mets, +1.5 -185, U 8 -105,-105
36,Rockies, +1.5 +110, O 8.5 -105,+240
37,Braves, -1.5 -135, U 8.5 -115,-300
38,Guardians, +1.5 -185, O 8.5 -110,+120
39,Royals, -1.5 +150, U 8.5 -110,-145
