Team,Spread,Total,Moneyline,Event ID
White Sox,,,,d3bac1cb-103f-439d-9a6a-efb0dc865e14
Orioles,,,,d3bac1cb-103f-439d-9a6a-efb0dc865e14
Astros,,,,d99185a8-2be7-4a89-8496-507b211a108a
Reds,,,,d99185a8-2be7-4a89-8496-507b211a108a
Nationals,,,,6640ceb8-4c9f-4f45-85d5-e900c002e508
Marlins,,,,6640ceb8-4c9f-4f45-85d5-e900c002e508
Twins,+8.5-170,11.5+110,,ceb8804e-7b9b-4aa8-b9c7-8356c0bd4b99
Rays,-8.5+135,11.5-140,,ceb8804e-7b9b-4aa8-b9c7-8356c0bd4b99
Red Sox,+1.5-160,11.5+105,+180,a0ac983d-fd63-4417-b083-c73a2a26bc6c
Mets,-1.5+125,11.5-135,-230,a0ac983d-fd63-4417-b083-c73a2a26bc6c
Rockies,+3.5-130,12.5+100,+500,818cdd89-0865-47e5-91ac-861100beb87d
Braves,-3.5+100,12.5-130,-800,818cdd89-0865-47e5-91ac-861100beb87d
Guardians,+1.5-210,6.5-125,+100,e5669d8f-8fc8-4041-9c11-c6db82349215
Royals,-1.5+165,6.5-105,-130,e5669d8f-8fc8-4041-9c11-c6db82349215
Pirates,+4.5+115,10.5+100,+1000,c2295c3e-8680-4105-b862-0bee39c0cb8e
Cubs,-4.5-145,10.5-130,-2500,c2295c3e-8680-4105-b862-0bee39c0cb8e
Cardinals,-1.5-150,7.5+105,-300,ee9dd335-af73-4378-96d9-d42e6136ae47
Brewers,+1.5+120,7.5-135,+230,ee9dd335-af73-4378-96d9-d42e6136ae47
Yankees,-1.5+145,8.5-115,-115,a9b9439e-f716-4804-8a7d-46285f619b6f
Rangers,+1.5-180,8.5-115,-115,a9b9439e-f716-4804-8a7d-46285f619b6f
Dodgers,-1.5-130,10.0-125,-205,78cf91ec-a966-4603-8d9b-8aea1bed87bd
Angels,+1.5+110,10.0+105,+170,78cf91ec-a966-4603-8d9b-8aea1bed87bd
Tigers,+1.5-130,8.0-110,+162,f8f12cfc-13cf-4d03-b3c7-0098d0898bf2
Padres,-1.5+110,8.0-110,-195,f8f12cfc-13cf-4d03-b3c7-0098d0898bf2
Mariners,-1.5+118,7.5+100,-140,968b6863-d525-4886-ac24-aa2d6a36859f
Athletics,+1.5-140,7.5-120,+118,968b6863-d525-4886-ac24-aa2d6a36859f
Diamondbacks,-1.5+122,7.5-120,-130,547af764-73e8-4640-a666-efa22b5f2d26
Giants,+1.5-145,7.5+100,+110,547af764-73e8-4640-a666-efa22b5f2d26
