,Team,Spread,Total,Moneyline
0,White Sox,+9.5-105,11.5-110,
1,Orioles,-9.5-125,11.5-120,
2,Nationals,-2.5-180,8.5-120,-1600
3,Marlins,+2.5+145,8.5-110,+800
4,Twins,+1.5-170,5.5+125,+290
5,Rays,-1.5+135,5.5-160,-400
6,Phillies,+2.5-190,13.5-135,+290
7,Blue Jays,-2.5+150,13.5+105,-400
8,Red Sox,+1.5-170,6.5-105,+215
9,Mets,-1.5+135,6.5-125,-280
10,Rockies,+2.5+125,5.5+105,+1000
11,Braves,-2.5-160,5.5-135,-2500
12,Guardians,-1.5-125,6.5-110,-250
13,Royals,+1.5-105,6.5-120,+195
14,Cardinals,-1.5+125,10.5-110,-145
15,Brewers,+1.5-160,10.5-120,+115
16,Pirates,,,
17,Cubs,,,
18,Yankees,,,
19,Rangers,,,
20,Dodgers,-1.5-125,9.0-120,-178
21,Angels,+1.5+105,9.0+100,+150
22,Mariners,-1.5+105,8.0-120,-155
23,Athletics,+1.5-125,8.0+100,+130
24,Diamondbacks,-1.5+143,7.5-120,-115
25,Giants,+1.5-170,7.5+100,-105
