,Team,Spread,Total,Moneyline
0,White Sox,+9.5−105,O 11.5−120,
1,Orioles,-9.5−125,U 11.5−110,
2,Nationals,-2.5−188,O 8.5−130,−1450
3,Marlins,+2.5+145,U 8.5+100,+750
4,Twins,+1.5−195,O 5.5+105,+280
5,Rays,-1.5+150,U 5.5−135,−395
6,Phillies,+1.5−105,O 14.5−110,+250
7,Blue Jays,-1.5−125,U 14.5−120,−345
8,Red Sox,+1.5−195,O 6.5−105,+210
9,Mets,-1.5+150,U 6.5−125,−280
10,Rockies,+3.5−154,O 5.5+100,+1000
11,Braves,-3.5+120,U 5.5−130,−2100
12,Pirates,-2.5+110,O 7.5−135,−280
13,Cubs,+2.5−140,U 7.5+105,+210
14,Guardians,-1.5−115,O 6.5−115,−238
15,Royals,+1.5−115,U 6.5−115,+180
16,Cardinals,-1.5+160,O 9.5−130,−130
17,Brewers,+1.5−210,U 9.5+100,+100
18,Yankees,-1.5+135,O 7.5+110,−125
19,Rangers,+1.5−175,U 7.5−140,−105
20,Dodgers,-1.5−122,O 9−118,−180
21,Angels,+1.5+102,U 9−102,+150
22,Mariners,-1.5+105,O 8.5−105,−155
23,Athletics,+1.5−125,U 8.5−115,+130
24,Diamondbacks,-1.5+142,O 7.5−118,−115
25,Giants,+1.5−170,U 7.5−102,−105
26,Phillies,-1.5+136,O 8−112,−125
27,Blue Jays,+1.5−162,U 8−108,+105
28,White Sox,+1.5+114,O 8.5−105,+260
29,Orioles,-1.5−135,U 8.5−115,−325
30,Astros,-1.5+114,O 9.5+100,−142
31,Reds,+1.5−135,U 9.5−120,+120
32,Nationals,-1.5+124,O 8−118,−135
33,Marlins,+1.5−148,U 8−102,+114
34,Red Sox,-1.5+150,O 8−115,−112
35,Mets,+1.5−180,U 8−105,−108
36,Rockies,+1.5+110,O 8.5−105,+240
37,Braves,-1.5−130,U 8.5−115,−298
38,Guardians,+1.5−175,O 8.5−110,+120
39,Royals,-1.5+145,U 8.5−110,−142
40,Cardinals,-1.5+130,O 8−105,−125
41,Brewers,+1.5−155,U 8−115,+105
42,Yankees,-1.5+145,O 9−102,−110
43,Rangers,+1.5−175,U 9−118,−110
44,Dodgers,-1.5−122,O 9.5+102,−198
45,Angels,+1.5+102,U 9.5−122,+164
46,Tigers,+1.5−135,O 7.5−115,+160
47,Padres,-1.5+114,U 7.5−105,−192
48,Mariners,,O 7.5−115,−142
49,Athletics,,U 7.5−105,+120
50,Diamondbacks,-1.5+124,O 7.5−118,−142
51,Giants,+1.5−148,U 7.5−102,+120
